name,carat,cut,color,clarity,depth,table,price,x,y,z
46497,0.5,Very-Good,F,VVS2,60.4,61,1778,5.12,5.14,3.1
45329,0.32,Premium,E,SI1,61.2,58,524,4.37,4.42,2.69
22424,1.57,Very-Good,H,SI1,59.6,58,10447,7.61,7.65,4.55
3143,0.7,Ideal,E,SI1,61.6,56,3330,5.7,5.72,3.52
6815,1.01,Fair,E,SI2,64.7,55,4118,6.37,6.3,4.1
5947,0.72,Ideal,E,VS1,61.1,57,3947,5.78,5.81,3.54
9084,1.07,Premium,G,SI2,62,59,4523,6.54,6.5,4.04
36793,0.34,Ideal,E,VS2,62.6,57,956,4.47,4.45,2.79
4943,0.76,Ideal,D,SI1,62.3,55,3732,5.81,5.84,3.63
52525,0.8,Ideal,F,SI2,62.4,57,2529,5.92,5.97,3.71
46417,0.55,Ideal,D,VS2,61,56,1768,5.31,5.28,3.23
35997,0.42,Very-Good,G,VS1,59.4,59,921,4.86,4.9,2.9
25539,1.5,Very-Good,G,VVS1,63.1,62,14361,7.25,7.23,4.57
2361,0.9,Ideal,J,VS1,62.5,55,3175,6.18,6.14,3.85
23147,1.02,Premium,E,VVS1,61.5,59,11163,6.46,6.41,3.96
39674,0.42,Ideal,G,VS2,62.1,56,1087,4.84,4.79,2.99
42947,0.3,Very-Good,F,SI2,63.4,56,506,4.29,4.26,2.71
23762,1.51,Premium,F,SI1,61.4,58,11817,7.43,7.35,4.54
47355,0.5,Ideal,E,VS2,63.8,54,1845,5.07,5.05,3.23
35598,0.31,Ideal,H,VVS1,62.7,54,907,4.38,4.33,2.73
43086,0.61,Ideal,I,VS2,62,54,1380,5.44,5.49,3.39
15471,1.58,Premium,F,SI2,59.1,59,6194,7.68,7.59,4.51
29072,0.34,Premium,D,VS2,59.3,59,687,4.55,4.59,2.71
20868,1.27,Premium,E,VS2,61.2,59,9086,7.02,6.97,4.28
51424,0.85,Good,J,VS1,63.6,57,2372,6.01,5.94,3.8
27320,2.18,Premium,G,SI2,61.9,60,17841,8.24,8.29,5.12
1128,0.73,Premium,G,VVS2,62.2,56,2919,5.79,5.75,3.59
18182,1.2,Very-Good,G,VS2,63.1,57,7371,6.69,6.74,4.24
669,0.77,Premium,E,SI1,62.9,59,2846,5.84,5.79,3.66
47240,0.51,Ideal,E,VS1,62,57,1841,5.11,5.15,3.18
14256,1,Ideal,D,SI1,60.6,56,5775,6.5,6.54,3.95
20118,1.31,Ideal,H,VS1,61.5,55,8583,7.05,7.02,4.33
53884,0.7,Very-Good,G,VS1,61.4,55,2748,5.7,5.74,3.51
48410,0.72,Very-Good,H,SI2,62.9,57,1970,5.64,5.68,3.56
48807,0.75,Ideal,J,VS2,62.3,57,2025,5.84,5.81,3.63
42132,0.53,Ideal,F,SI2,63,54,1279,5.24,5.19,3.29
25596,1.7,Good,G,VS1,63.5,56,14445,7.53,7.64,4.82
23434,1.62,Very-Good,H,VS2,59.6,59,11427,7.59,7.67,4.55
20160,1.21,Ideal,G,VS1,62.6,56,8616,6.77,6.81,4.25
2174,0.73,Ideal,F,VS1,62.9,56,3135,5.71,5.77,3.61
23377,0.33,Ideal,G,SI1,61.4,57,631,4.48,4.45,2.74
14592,1.1,Ideal,H,VS2,61.3,56,5888,6.64,6.67,4.08
11074,1.13,Very-Good,E,SI1,62.7,57,4922,6.62,6.65,4.16
36627,0.24,Very-Good,D,VVS2,61.9,58,478,4.02,4.03,2.49
8533,0.9,Ideal,H,VS1,62.2,58,4428,6.14,6.17,3.83
2420,0.91,Fair,H,SI1,64.8,57,3180,6.12,6.07,3.95
21758,1.53,Very-Good,I,VS1,59.3,58,9823,7.5,7.54,4.46
9029,1.06,Ideal,H,SI2,60.1,59,4516,6.58,6.67,3.98
53870,0.75,Ideal,F,SI1,62.3,57,2744,5.82,5.77,3.61
25628,2.5,Ideal,J,SI2,64,55,14502,8.56,8.48,5.46
20051,0.31,Premium,G,VS1,61.2,60,625,4.37,4.39,2.68
26772,2.06,Very-Good,F,SI2,61.5,56,16603,8.15,8.18,5.02
38208,0.43,Ideal,F,SI1,61.8,56,1016,4.87,4.84,3
17039,1.3,Ideal,I,VS1,62.1,57,6806,6.98,7.04,4.35
35184,0.31,Ideal,G,IF,61.7,55,891,4.36,4.39,2.7
29861,0.3,Ideal,D,VS2,61.5,55,710,4.3,4.35,2.66
2592,1,Very-Good,I,SI2,62.4,63,3217,6.35,6.44,3.99
51705,0.7,Very-Good,F,VS2,61.2,56,2400,5.72,5.78,3.52
16984,1.25,Premium,H,SI1,62.2,57,6783,6.91,6.85,4.28
18724,1.75,Premium,I,SI1,60.8,58,7644,7.83,7.79,4.75
12270,1,Good,H,VS2,56.9,63,5208,6.6,6.57,3.75
34355,0.37,Very-Good,F,VS1,58.6,65,863,4.68,4.71,2.75
1996,0.52,Ideal,E,VVS1,61.8,55,3097,5.19,5.2,3.21
39442,0.41,Ideal,D,VS2,62.4,54,1076,4.78,4.74,2.97
32035,0.32,Ideal,E,VVS2,61.3,57,779,4.39,4.42,2.7
1257,0.73,Premium,D,VS2,60.9,59,2947,5.82,5.77,3.53
35751,0.3,Premium,D,VS2,62.9,58,911,4.26,4.23,2.67
17748,1.12,Ideal,D,SI1,61.2,58,7145,6.65,6.68,4.08
52350,0.82,Premium,H,SI2,59.5,62,2499,6.13,6.07,3.63
12512,1.01,Premium,H,VS2,61.9,57,5260,6.42,6.35,3.95
30836,0.33,Premium,H,VS1,59.2,58,743,4.55,4.5,2.68
17939,1.21,Very-Good,H,VS1,62.3,58,7246,6.71,6.74,4.19
53151,0.7,Ideal,I,SI1,61.6,56,2623,5.69,5.71,3.51
21427,1.5,Ideal,I,VS1,62.8,57,9533,7.24,7.28,4.56
4025,0.73,Ideal,F,VVS2,61.7,54,3524,5.76,5.82,3.57
10997,1.17,Good,H,SI2,63.8,58,4914,6.73,6.57,4.24
37380,0.4,Ideal,G,VVS2,62.4,56,982,4.64,4.68,2.91
32301,0.32,Ideal,D,SI2,61.7,55,454,4.39,4.42,2.72
5986,0.71,Premium,D,VVS1,58.8,58,3952,5.89,5.81,3.44
7062,0.33,Premium,I,VVS2,61,59,579,4.41,4.44,2.7
6488,0.96,Premium,G,SI2,61.1,59,4059,6.32,6.28,3.85
10508,1.02,Ideal,D,SI1,62.1,53,4798,6.43,6.38,3.98
1143,0.71,Very-Good,E,VS2,63.3,59,2922,5.62,5.66,3.57
40005,0.41,Very-Good,F,VS2,63.2,57,1107,4.76,4.74,3
42200,0.56,Premium,G,SI1,61.1,61,1287,5.31,5.29,3.24
46075,0.5,Premium,F,VS2,61.4,59,1736,5.12,5.1,3.14
41028,0.41,Ideal,E,VVS2,61.1,56,1187,4.8,4.85,2.95
7732,0.3,Very-Good,G,VS1,62.6,56,581,4.29,4.31,2.69
20659,1.17,Ideal,G,VVS2,61.7,55,8947,6.74,6.77,4.17
42320,0.41,Ideal,D,VVS2,62.3,57,1295,4.74,4.76,2.96
502,0.7,Premium,E,VS2,61.5,59,2822,5.73,5.68,3.51
5786,0.72,Very-Good,E,VVS1,61.2,58,3903,5.75,5.79,3.53
28008,0.3,Ideal,E,VS2,62.6,56,658,4.29,4.34,2.7
1319,0.72,Good,G,VS1,58,57.8,2958,5.85,5.87,3.4
33956,0.23,Very-Good,E,VVS2,60.2,57,465,3.99,4.05,2.42
6983,1.03,Premium,J,SI1,61.7,54,4153,6.56,6.5,4.03
5595,1.01,Fair,H,SI1,64.5,59,3869,6.27,6.23,4.03
22168,1.56,Ideal,F,SI2,61.6,56,10210,7.41,7.45,4.58
34991,0.34,Premium,D,VS2,59.3,59,881,4.59,4.55,2.71
3246,0.81,Ideal,I,VS2,61.4,55,3355,6.03,6.06,3.71
39872,0.36,Premium,E,VVS2,61.7,59,1102,4.56,4.52,2.8
29982,0.31,Ideal,F,VVS2,61.2,56,716,4.4,4.43,2.7
29194,0.38,Ideal,E,SI1,61,56,694,4.68,4.69,2.86
41649,0.4,Ideal,E,VVS2,61.7,55,1238,4.76,4.74,2.93
48035,0.6,Ideal,F,VS2,58.6,60,1923,5.54,5.62,3.27
38063,0.3,Ideal,E,IF,61.1,57,1013,4.31,4.33,2.64
23199,1.52,Ideal,H,VS2,60.7,56,11206,7.49,7.41,4.52
14152,1.01,Premium,G,VS2,63,58,5741,6.42,6.37,4.03
45512,0.51,Ideal,E,SI1,61.5,57,1682,5.11,5.16,3.16
33630,0.33,Very-Good,H,SI1,63,56,463,4.41,4.42,2.78
31484,0.34,Ideal,G,VS2,61.9,55,765,4.53,4.49,2.79
4780,1.23,Fair,E,I1,67.4,56,3692,6.76,6.56,4.49
1849,0.76,Premium,E,VS2,61.7,62,3064,5.85,5.82,3.6
3200,0.92,Very-Good,I,SI1,63.7,58,3345,6.12,6.18,3.92
18133,1.52,Premium,I,SI2,62.5,56,7341,7.35,7.33,4.59
40938,0.23,Very-Good,E,VVS1,60.8,56,499,3.94,3.99,2.41
33643,0.38,Premium,H,VVS2,62,58,833,4.62,4.64,2.87
52241,0.73,Ideal,I,VVS2,63.3,57,2485,5.77,5.73,3.64
10406,0.31,Premium,D,SI2,61.5,60,593,4.34,4.31,2.66
51776,0.74,Ideal,F,SI2,61.6,55,2410,5.81,5.87,3.6
31450,0.4,Very-Good,G,SI2,63.4,59,765,4.66,4.64,2.95
21271,1.53,Premium,F,SI2,62.7,60,9424,7.28,7.34,4.58
22716,1.01,Premium,D,VVS2,62.4,58,10732,6.39,6.44,4
17977,1.1,Very-Good,F,VS2,62.7,58.5,7272,6.5,6.59,4.1
18203,1.52,Fair,H,SI2,65,57,7388,7.12,7.09,4.62
10318,1.03,Premium,D,SI2,61.3,61,4764,6.49,6.46,3.97
28823,0.41,Good,H,SI1,63.8,56,683,4.69,4.74,3.01
5145,0.9,Very-Good,I,VS2,62.8,52,3764,6.19,6.23,3.9
37720,0.34,Ideal,G,VVS2,61.1,57,995,4.52,4.48,2.75
595,0.76,Very-Good,H,SI1,60.9,55,2838,5.92,5.94,3.61
12362,0.26,Very-Good,E,VVS2,61.5,58,597,4.08,4.12,2.52
50151,0.71,Good,D,SI2,64.3,56,2215,5.64,5.59,3.61
41669,0.4,Ideal,I,VVS2,61.4,56,1240,4.76,4.79,2.93
4974,1.14,Good,I,SI2,60,65,3735,6.8,6.75,4.06
47558,0.7,Ideal,J,VS2,62.4,55,1874,5.68,5.7,3.55
52829,0.7,Ideal,G,VS1,61.4,55,2573,5.74,5.69,3.51
3874,0.81,Ideal,F,SI1,62.3,55,3481,5.96,6,3.72
22691,0.36,Ideal,F,VS2,61.5,55,629,4.57,4.6,2.82
28407,0.35,Premium,G,SI1,60.3,60,669,4.59,4.57,2.76
27459,2.03,Very-Good,E,SI2,58.8,59,18115,8.23,8.28,4.85
30473,0.31,Ideal,I,VVS1,62.1,56,732,4.38,4.35,2.71
32370,0.3,Ideal,F,VVS1,62.4,57,790,4.25,4.28,2.66
20135,1.57,Premium,J,VS1,61.3,59,8595,7.44,7.47,4.57
50802,0.71,Premium,E,SI2,61.4,59,2306,5.74,5.7,3.51
29439,0.42,Premium,D,SI2,60.1,58,700,4.83,4.88,2.92
19544,1,Premium,E,VS1,59.1,59,8176,6.56,6.51,3.86
16410,1,Good,F,VS1,57.8,59,6552,6.57,6.59,3.8
41500,0.58,Premium,J,VS2,59.5,62,1233,5.44,5.41,3.23
22107,1.66,Very-Good,H,SI1,62.8,56,10134,7.53,7.57,4.74
37064,0.43,Premium,F,VS2,59.8,58,968,4.94,4.89,2.94
27284,2.03,Very-Good,G,SI2,62.7,55,17752,8.07,8.14,5.08
21724,1.86,Good,G,SI2,63.8,55,9791,7.79,7.73,4.95
47369,0.52,Very-Good,D,VS2,62.9,59,1847,5.11,5.13,3.22
34279,0.23,Very-Good,D,VS1,62.4,56,468,3.93,3.98,2.46
28365,0.4,Good,D,SI1,60.3,61,667,4.74,4.78,2.87
41811,0.54,Good,E,SI2,63.8,54,1250,5.18,5.17,3.3
36655,0.3,Very-Good,E,IF,60.9,59,949,4.29,4.32,2.62
4623,0.91,Ideal,E,SI1,60.7,56,3665,6.26,6.22,3.79
12087,1.44,Premium,E,I1,61.1,62,5161,7.23,7.15,4.39
7116,1.01,Very-Good,I,SI2,62.9,55,4171,6.37,6.42,4.02
21908,1.71,Very-Good,H,VS1,63.5,59,9974,7.59,7.52,4.8
50703,0.53,Ideal,F,VVS2,61.3,55,2291,5.23,5.27,3.22
2069,0.32,Premium,G,VS2,61.5,60,561,4.4,4.42,2.71
14758,1.01,Ideal,D,SI1,62,57,5939,6.44,6.37,3.97
3516,0.71,Ideal,F,VS1,61.5,57,3404,5.7,5.74,3.52
34464,0.31,Ideal,E,VVS1,61.3,56,865,4.38,4.4,2.69
25285,2.09,Ideal,I,SI2,61.2,57,13933,8.27,8.19,5.04
35783,0.32,Ideal,F,VVS1,61,56,912,4.42,4.43,2.7
39495,0.41,Ideal,E,VS1,62,55,1079,4.74,4.77,2.95
15922,1.52,Premium,J,SI1,61,59,6367,7.41,7.35,4.5
40625,0.41,Ideal,E,VS1,61.9,55,1153,4.8,4.76,2.96
8663,1.16,Very-Good,H,SI2,63.2,57,4455,6.66,6.7,4.22
5613,0.92,Very-Good,F,SI2,62.8,56,3873,6.19,6.23,3.9
52450,0.71,Premium,G,VS2,62.8,58,2515,5.74,5.69,3.59
17352,1.11,Premium,D,SI1,62,58,6962,6.68,6.64,4.13
51937,0.72,Ideal,F,SI1,62.1,55,2440,5.73,5.8,3.58
5387,0.3,Premium,G,SI1,58.8,60,574,4.39,4.35,2.57
12962,1,Very-Good,D,SI1,62.1,58,5390,6.34,6.45,3.97
34751,0.41,Premium,H,SI1,62,59,876,4.8,4.78,2.97
4364,0.9,Good,F,SI1,63.9,58,3604,6.12,6.08,3.9
13164,1.24,Ideal,J,VS2,62.3,56,5443,6.84,6.91,4.28
34488,0.43,Premium,G,VS2,61.2,58,867,4.84,4.9,2.98
33762,0.4,Very-Good,G,SI1,63.4,58,840,4.71,4.66,2.97
18486,1.31,Premium,H,SI1,62.4,58,7527,7.02,6.96,4.36
53494,0.73,Ideal,D,SI2,62.4,56,2683,5.74,5.77,3.59
45458,0.7,Good,I,SI2,63.5,56,1675,5.59,5.63,3.56
34592,0.37,Ideal,J,SI1,61.4,57,469,4.62,4.66,2.85
7984,0.92,Ideal,H,SI1,60.5,57,4325,6.27,6.32,3.81
23251,1.7,Premium,I,VS2,61.2,59,11257,7.55,7.62,4.64
34473,0.38,Very-Good,E,VS2,60.3,58,866,4.67,4.72,2.83
6235,0.75,Very-Good,E,VVS2,62.8,57,4005,5.74,5.78,3.62
28202,0.4,Very-Good,E,SI2,62.9,59,666,4.66,4.69,2.94
42691,0.5,Ideal,E,SI1,61.6,57,1337,5.08,5.11,3.14
34013,0.43,Ideal,F,VS2,61.4,54,848,4.9,4.93,3.02
49461,0.6,Ideal,E,VS2,62,56,2112,5.4,5.43,3.36
50401,0.71,Ideal,I,SI1,61.4,56,2255,5.73,5.77,3.53
27056,0.28,Premium,H,VVS1,59.9,62,646,4.28,4.23,2.55
47424,0.7,Good,F,SI2,64.1,55,1851,5.58,5.52,3.56
38417,0.3,Ideal,G,IF,62.4,55,1025,4.32,4.3,2.69
10216,1.26,Ideal,J,SI2,62.5,53,4742,6.9,6.86,4.3
13031,0.26,Premium,H,VVS1,59.8,59,600,4.17,4.12,2.48
22644,1.5,Good,H,VS2,63.9,60,10692,7.17,7.22,4.6
31530,0.34,Ideal,E,SI1,62.9,56,765,4.48,4.45,2.81
33600,0.37,Ideal,G,VS2,60.8,57,833,4.66,4.61,2.82
40166,0.39,Very-Good,F,VVS2,58.2,62,1117,4.77,4.82,2.79
6524,0.91,Ideal,D,SI2,62.6,54,4067,6.22,6.25,3.9
2493,0.9,Good,I,SI1,63,53,3196,6.08,6.15,3.85
53307,0.3,Good,D,SI1,63.4,56,552,4.26,4.29,2.71
6661,1,Premium,G,SI2,62.7,59,4095,6.3,6.36,3.97
143,0.7,Very-Good,D,VS2,61.8,55,2767,5.68,5.72,3.52
51773,0.71,Premium,F,SI2,59.6,59,2409,5.79,5.75,3.44
14482,1.2,Premium,F,SI2,62.6,58,5846,6.79,6.73,4.23
33251,0.45,Ideal,I,VS1,61.9,54,825,4.95,4.97,3.07
9911,1.01,Premium,E,SI2,62.9,59,4688,6.37,6.31,3.99
259,0.83,Ideal,F,SI2,62.3,55,2790,6.02,6.05,3.76
32882,0.4,Ideal,J,VS1,62.6,55,810,4.75,4.71,2.96
31115,0.42,Very-Good,H,SI1,61.1,57,754,4.84,4.87,2.96
20904,1.06,Ideal,F,VVS2,62.1,57,9118,6.54,6.5,4.05
26198,1.7,Premium,G,VS2,62.6,61,15568,7.64,7.54,4.75
2676,0.7,Premium,D,VS1,60.6,58,3239,5.73,5.75,3.48
38697,0.37,Ideal,E,VS2,61.9,53,1041,4.65,4.62,2.87
39651,0.5,Very-Good,I,SI1,63.2,57,1087,5.07,5.09,3.21
16592,1.06,Very-Good,F,VS2,62.7,55,6627,6.54,6.5,4.09
18088,1.22,Premium,H,VS2,60.8,59,7310,6.93,6.86,4.19
48489,0.5,Fair,D,VVS2,67.6,57,1980,4.95,4.84,3.31
6300,0.9,Good,G,VS2,63.6,59,4022,6.1,6.04,3.86
2089,0.71,Very-Good,E,VS1,59.8,58,3112,5.78,5.82,3.47
36243,0.54,Ideal,I,SI2,60.9,57,935,5.26,5.31,3.22
53086,0.57,Ideal,G,VVS1,60.9,56,2612,5.37,5.41,3.28
35614,0.3,Premium,I,VS1,59.1,59,473,4.35,4.38,2.58
48148,0.53,Premium,D,VS1,62.4,61,1940,5.25,5.14,3.24
27367,0.28,Ideal,E,VVS2,62.4,56,646,4.16,4.2,2.61
38602,0.4,Ideal,E,VS2,62.6,57,1038,4.7,4.68,2.93
27118,2.05,Premium,E,SI2,62.5,56,17294,8.17,8.08,5.08
33880,0.3,Premium,E,VS2,60.7,59,844,4.33,4.3,2.62
27465,2.03,Very-Good,D,SI2,62.4,59,18120,7.98,8.04,5
19752,1.02,Ideal,G,VVS1,61.5,57,8317,6.47,6.44,3.97
20737,1.36,Ideal,G,SI1,60.9,56,8977,7.15,7.16,4.36
20725,0.31,Very-Good,F,VS2,61.4,55,625,4.32,4.34,2.66
53285,0.3,Premium,D,SI1,62.4,60,552,4.23,4.26,2.65
25760,2.33,Premium,J,SI1,59.9,59,14711,8.7,8.65,5.2
1993,0.91,Premium,F,SI2,62.1,56,3096,6.26,6.21,3.87
13045,0.36,Premium,F,SI1,61.6,60,600,4.54,4.61,2.82
19622,1,Ideal,G,VVS2,61.2,56,8239,6.47,6.5,3.97
32358,0.3,Good,G,VVS1,63.1,56,789,4.25,4.28,2.69
26851,2.01,Premium,I,VS2,62.6,59,16778,8.04,8.01,5.02
34059,0.36,Ideal,D,SI1,61.5,56,851,4.64,4.56,2.83
14897,1.26,Premium,H,SI2,58.6,59,5998,7.09,7.04,4.14
235,0.64,Ideal,D,VS1,61.5,56,2787,5.54,5.55,3.41
4997,0.58,Ideal,D,VVS1,62.2,56,3741,5.34,5.36,3.33
39946,0.24,Good,E,VVS2,65,58,492,3.85,3.9,2.52
26147,2,Premium,H,SI2,59.7,61,15451,8.2,8.15,4.88
17956,1.02,Very-Good,F,VS1,61.9,59,7257,6.38,6.44,3.97
19885,1.2,Very-Good,F,VS2,61.1,59,8436,6.81,6.87,4.18
37862,0.34,Ideal,F,VVS2,61,56,1003,4.54,4.57,2.78
5256,1.01,Very-Good,I,SI2,61.4,63,3792,6.33,6.38,3.9
16116,0.9,Premium,D,VS1,61.2,58,6441,6.27,6.25,3.83
17009,1.33,Ideal,H,SI2,62.3,55,6791,7.01,7.08,4.39
4428,1,Good,J,SI1,58.7,62,3614,6.47,6.51,3.81
47942,0.55,Ideal,G,VVS2,62.2,54,1916,5.23,5.3,3.27
34574,0.31,Ideal,G,IF,61.9,56,871,4.33,4.35,2.68
11058,0.4,Ideal,H,SI2,61.9,58,596,4.71,4.73,2.92
25643,2.15,Ideal,I,SI1,62.5,57,14534,8.2,8.16,5.11
12593,1.27,Ideal,J,VS2,61.8,54,5285,6.95,6.98,4.31
5579,0.9,Very-Good,E,SI1,63.6,57,3863,6.08,6.12,3.88
9401,1.05,Ideal,H,SI2,61.9,56,4586,6.56,6.49,4.04
20144,1.43,Ideal,G,SI1,62.8,57,8599,7.17,7.12,4.49
52042,0.71,Premium,E,SI2,62.6,58,2450,5.7,5.67,3.56
52908,0.64,Ideal,G,VVS2,60.7,57,2587,5.58,5.63,3.4
32459,0.38,Ideal,H,VVS2,61.6,56,794,4.67,4.72,2.89
41064,0.49,Ideal,H,SI2,60.7,56,1190,5.13,5.18,3.13
47384,0.54,Premium,G,VS1,61.6,56,1847,5.26,5.23,3.23
39278,0.34,Ideal,H,SI1,62.6,56,490,4.46,4.48,2.8
21693,0.34,Ideal,I,VVS1,61.8,56,626,4.47,4.5,2.77
18007,1.2,Premium,F,SI1,60.1,59,7282,6.92,6.85,4.14
14160,1.31,Premium,I,SI2,60.5,59,5744,7.11,7.04,4.28
29415,0.42,Very-Good,E,SI2,62.9,56,700,4.77,4.8,3.01
43419,0.41,Ideal,D,VVS1,62.7,56,1413,4.77,4.74,2.98
37822,0.31,Ideal,E,IF,61.3,58,1002,4.37,4.4,2.69
28546,0.3,Premium,I,VVS2,61.8,58,675,4.33,4.28,2.66
47739,0.7,Premium,I,SI2,62.4,58,1890,5.68,5.64,3.53
40698,0.4,Ideal,E,VVS2,62.2,56,1158,4.71,4.78,2.95
17406,1.1,Ideal,G,VS2,60.2,56,6972,6.7,6.74,4.05
25732,1.51,Good,G,IF,62.8,60,14654,7.18,7.24,4.53
53765,0.7,Very-Good,D,SI1,62.6,57,2726,5.67,5.7,3.56
13811,1.06,Very-Good,H,VS1,61.9,58,5627,6.57,6.49,4.04
13975,1.27,Premium,I,SI1,62.3,56,5690,6.93,6.85,4.29
11498,1.12,Ideal,G,SI2,61.5,57,5018,6.74,6.68,4.13
92,0.86,Fair,E,SI2,55.1,69,2757,6.45,6.33,3.52
40130,0.41,Premium,F,VVS2,60.6,58,1115,4.79,4.84,2.92
31089,0.33,Very-Good,G,VVS2,60,63,752,4.45,4.49,2.68
12062,1.01,Ideal,F,SI2,62.4,54,5154,6.41,6.44,4.01
10388,0.3,Fair,F,VS1,61.7,66,593,4.25,4.31,2.64
46337,0.58,Ideal,G,VS2,61.9,56,1758,5.38,5.34,3.32
41965,0.23,Very-Good,E,VVS2,62.7,55,505,3.9,3.95,2.46
44984,0.31,Premium,G,SI2,62.3,57,523,4.37,4.33,2.71
10061,0.31,Ideal,H,SI1,61.5,56,591,4.36,4.39,2.69
1719,0.32,Good,G,VS2,63.3,54,561,4.36,4.39,2.77
50486,0.7,Premium,G,SI2,58,60,2268,5.91,5.88,3.42
39484,0.41,Ideal,E,VS1,61.7,57,1079,4.76,4.8,2.95
50934,0.7,Premium,D,SI2,62.1,60,2319,5.73,5.71,3.55
21951,1.26,Very-Good,G,VVS2,60.9,56,10020,6.95,7.01,4.25
53149,0.8,Very-Good,E,SI2,62.4,55,2623,5.88,5.92,3.68
36621,0.24,Very-Good,F,VVS2,62.1,58,478,3.96,4.03,2.48
40481,0.55,Very-Good,G,SI1,60.7,56,1141,5.32,5.38,3.25
30147,0.32,Premium,E,SI1,60.2,60,720,4.44,4.39,2.66
47083,0.69,Premium,H,SI1,62.8,58,1822,5.65,5.62,3.54
37623,0.44,Premium,I,VVS1,62.5,60,990,4.87,4.82,3.03
2504,0.7,Premium,E,VS2,61,59,3199,5.74,5.7,3.49
19150,1.55,Premium,J,VS2,60.7,59,7911,7.47,7.5,4.54
14664,1.01,Very-Good,G,VS2,61.6,58,5919,6.4,6.45,3.96
24538,1.62,Ideal,F,SI1,62.7,56,12828,7.5,7.44,4.68
964,0.71,Ideal,E,VS2,62.7,56,2891,5.71,5.75,3.59
34414,0.3,Ideal,G,IF,60.7,57,863,4.34,4.39,2.65
42804,0.52,Ideal,G,SI1,62.2,54,1352,5.18,5.2,3.23
20646,1.58,Premium,H,VS2,60.5,58,8936,7.57,7.54,4.57
52407,0.71,Ideal,E,SI2,59.5,57,2511,5.87,5.82,3.48
51353,0.71,Very-Good,G,SI1,63.4,56,2364,5.64,5.68,3.59
29106,0.34,Ideal,H,VS2,62.5,54,689,4.54,4.49,2.82
19876,1.31,Ideal,H,VS1,61.5,56,8429,7,7.06,4.32
26399,2.01,Premium,H,SI2,62.3,58,15917,8.11,8.06,5.04
33362,0.41,Very-Good,G,VS2,62.9,59,827,4.7,4.75,2.97
10156,1.01,Very-Good,D,SI2,61.9,58,4727,6.43,6.49,4
19789,1.06,Ideal,G,VVS2,61.7,56,8358,6.59,6.56,4.06
36629,0.29,Very-Good,H,VVS1,62,55,478,4.24,4.27,2.64
16819,1.21,Premium,H,VS2,58.8,59,6708,7.01,6.98,4.11
15591,1.24,Ideal,H,SI1,61.3,57,6254,6.95,6.89,4.24
28931,0.3,Premium,G,VVS2,61.9,59,684,4.25,4.28,2.64
45361,0.52,Very-Good,E,VS2,62.2,56,1665,5.16,5.17,3.21
19714,1.51,Fair,I,VS2,64.6,58,8287,7.19,7.15,4.63
1192,0.72,Very-Good,G,VVS2,62.2,57,2933,5.67,5.72,3.54
