Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Anatomie,9598,9598,,2500000,Sep 08 2000,Not Rated,,Sony Pictures,Original Screenplay,Horror,,,,6.1,6266
The Adventures of Huck Finn,24103594,24103594,,6500000,Apr 02 1993,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62,5.8,3095
The Apartment,18600000,24600000,,3000000,Dec 31 1959,,,United Artists,Original Screenplay,Romantic Comedy,,Billy Wilder,91,8.4,36485
Apocalypse Now,78800000,78800000,3479242,31500000,Aug 15 1979,R,,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98,8.6,173141
Arachnophobia,53208180,53208180,,31000000,Jul 18 1990,,,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85,6.2,20528
Arn - Tempelriddaren,0,14900000,,16500000,Dec 25 2007,R,,,Based on Book/Short Story,Action,Historical Fiction,,,6.4,6251
Arnolds Park,23616,23616,,600000,Oct 19 2007,PG-13,,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,5.1,77
Sweet Sweetback's Baad Asssss Song,15200000,15200000,,150000,Jan 01 1971,,,,,,,,,5.6,1769
And Then Came Love,8158,8158,,989000,Jun 01 2007,Not Rated,,Fox Meadow,,Comedy,,,17,4.4,200
Around the World in 80 Days,42000000,42000000,,6000000,Oct 17 1956,PG,,United Artists,Based on Book/Short Story,Adventure,,,73,5.6,21516
Barbarella,0,0,,9000000,Oct 10 1968,,,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,,74,5.7,10794
Barry Lyndon,20000000,20000000,,11000000,Dec 31 1974,,,Warner Bros.,Based on Book/Short Story,Drama,,Stanley Kubrick,94,8.1,39909
"Barbarians, The",800000,800000,,4000000,Mar 01 1987,,,,,,,,,5.4,236
Babe,63658910,246100000,,30000000,Aug 04 1995,G,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98,7.3,35644
Boynton Beach Club,3127472,3127472,,2900000,Mar 24 2006,R,104,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,,
Baby's Day Out,16581575,16581575,,50000000,Jul 01 1994,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21,5,8332
Bound by Honor,4496583,4496583,,35000000,Apr 16 1993,,,Walt Disney Pictures,Original Screenplay,,,Taylor Hackford,,7.7,10142
"Bon Cop, Bad Cop",12671300,12671300,,8000000,Aug 04 2006,Not Rated,,Alliance,Original Screenplay,Comedy,Contemporary Fiction,,67,6.9,151
Back to the Future,210609762,381109762,,19000000,Jul 03 1985,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96,8.4,201598
Back to the Future Part II,118450002,332000000,,40000000,Nov 22 1989,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64,7.5,87341
Back to the Future Part III,87666629,243700000,,40000000,May 24 1990,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71,7.1,77541
Butch Cassidy and the Sundance Kid,102308900,102308900,,6000000,Oct 24 1969,,,20th Century Fox,,Western,Historical Fiction,George Roy Hill,90,8.2,57602
Bad Boys,65647413,141247413,,23000000,Apr 07 1995,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39,6.6,53929
Body Double,8801940,8801940,,10000000,Oct 26 1984,,,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84,6.4,9738
"The Beast from 20,000 Fathoms",5000000,5000000,,210000,Jun 13 1953,,,Warner Bros.,Based on Book/Short Story,,,,90,,
Beastmaster 2: Through the Portal of Time,773490,773490,,6000000,Aug 30 1991,,,New Line,Based on Book/Short Story,,Fantasy,,17,3.3,1327
The Beastmaster,10751126,10751126,,5000000,Aug 20 1982,,,MGM,Based on Book/Short Story,Action,Fantasy,,50,5.7,5734
Ben-Hur,9000000,9000000,,3900000,Dec 30 2025,,,MGM,Based on Book/Short Story,Adventure,,,,8.2,58510
Ben-Hur,73000000,73000000,,15000000,Nov 18 1959,,,MGM,Based on Book/Short Story,Adventure,,William Wyler,91,8.2,58510
Benji,31559560,31559560,,500000,Nov 15 1974,,,,Original Screenplay,Adventure,,,83,5.8,1801
Before Sunrise,5274005,5274005,,2500000,Jan 27 1995,R,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100,8,39705
Beauty and the Beast,171340294,403476931,,20000000,Nov 13 1991,G,,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93,3.4,354
The Best Years of Our Lives,23600000,23600000,,2100000,Nov 21 2046,,,RKO Radio Pictures,Based on Book/Short Story,Drama,,William Wyler,97,8.2,17338
The Ballad of Gregorio Cortez,909000,909000,,1305000,Aug 19 1983,,,Embassy,Based on Book/Short Story,Western,Historical Fiction,,,,
My Big Fat Independent Movie,4655,4655,,3000000,Sep 30 2005,R,,Big Fat Movies,,Comedy,Contemporary Fiction,,23,3.2,1119
Battle for the Planet of the Apes,8800000,8800000,,1800000,Dec 31 1972,,,20th Century Fox,,,Science Fiction,Jack Lee Thompson,38,5,6094
Big Things,0,0,,50000,Dec 31 2009,,,,,,,,,,
Bogus,4357406,4357406,,32000000,Sep 06 1996,PG,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40,4.8,2742
Beverly Hills Cop,234760478,316300000,,15000000,Dec 05 1984,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83,7.3,45065
Beverly Hills Cop II,153665036,276665036,,20000000,May 20 1987,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46,6.1,29712
Beverly Hills Cop III,42586861,119180938,,50000000,May 25 1994,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10,5,21199
The Black Hole,35841901,35841901,,20000000,Dec 21 1979,,,Walt Disney Pictures,Original Screenplay,,Science Fiction,,42,5.6,7810
Bathory,0,3436763,,15000000,Jul 10 2008,,,,,,,,,6.1,1446
Big,114968774,151668774,,18000000,Jun 03 1988,,,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96,7.2,49256
The Big Parade,11000000,22000000,,245000,Jan 01 2025,,,MGM,Based on Play,Drama,,King Vidor,100,8.4,2600
Boyz n the Hood,56190094,56190094,,6500000,Jul 12 1991,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98,7.8,30299
"The Book of Mormon Movie, Volume 1: The Journey",1660865,1660865,,2000000,Sep 12 2003,PG,,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,,,,
Return to the Blue Lagoon,2000000,2000000,,11000000,Dec 31 1990,,,,,,,,,4.3,4632
"Bright Lights, Big City",16118077,16118077,,25000000,Apr 01 1988,R,,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,,61,6.8,11929
The Blue Bird,887000,887000,,1200000,Dec 31 1975,,,20th Century Fox,Based on Play,,Fantasy,George Cukor,,4.9,359
The Blue Butterfly,1610194,1610194,,10400000,Feb 20 2004,PG,,Alliance,Original Screenplay,Drama,Contemporary Fiction,,44,6.2,817
Blade Runner,32656328,33139618,,28000000,Jun 25 1982,R,,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92,8.3,185546
Bloodsport,11806119,11806119,,1500000,Feb 26 1988,,,Cannon,Original Screenplay,Action,Contemporary Fiction,,,6.2,19816
The Blues Brothers,57229890,57229890,,27000000,Jun 20 1980,,,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84,7.9,62941
Blow Out,13747234,13747234,,18000000,Jul 24 1981,,,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89,7.1,10239
De battre mon coeur s'est arrÍtÈ,1023424,8589831,,5500000,Jul 01 2005,Not Rated,,WellSpring,Original Screenplay,Drama,Contemporary Fiction,,,7.3,7295
The Broadway Melody,2800000,4358000,,379000,Dec 31 1928,,,MGM,Original Screenplay,Musical,,,38,6.7,2017
Boom Town,9172000,9172000,,2000000,Dec 31 1939,,,MGM,Original Screenplay,,,,,7.1,1115
Bound,3802260,6300000,,4500000,Oct 04 1996,R,,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88,7.4,23564
Bang,527,527,,10000,Apr 01 1996,,,JeTi Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,"Jeff """"King Jeff"""" Hollins",,6.3,369
Bananas,,,,2000000,Apr 28 1971,PG-13,,MGM,Original Screenplay,Comedy,,Woody Allen,89,7.1,12415
Bill & Ted's Bogus Journey,37537675,37537675,,20000000,Jul 19 1991,,,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58,5.8,20188
The Birth of a Nation,10000000,11000000,,110000,Feb 08 2015,,,,Based on Book/Short Story,Drama,,,100,7.1,8901
The Ballad of Cable Hogue,3500000,5000000,,3716946,May 13 1970,,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92,7.3,3125
The Blood of Heroes,882290,882290,,7700000,Feb 23 1990,,,New Line,Original Screenplay,Action,,,,6.2,2523
The Blood of My Brother: A Story of Death in Iraq,0,0,,120000,Jun 30 2006,,,Lifesize Entertainment,Based on Real Life Events,Documentary,Factual,,71,7.6,90
Boomerang,70052444,131052444,,42000000,Jul 01 1992,,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,37,5.9,202
The Bridge on the River Kwai,33300000,33300000,,3000000,Dec 18 1957,,,Sony/Columbia,Based on Book/Short Story,Drama,,David Lean,95,8.4,58641
Born on the Fourth of July,70001698,70001698,,14000000,Dec 20 1989,,,Universal,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,89,7.2,32108
Basquiat,2962051,2962051,,3000000,Aug 09 1996,R,,Miramax,Based on Real Life Events,Drama,Dramatization,Julian Schnabel,69,6.7,7935
Black Rain,45892212,45892212,,30000000,Sep 22 1989,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Ridley Scott,57,4.1,137
Bottle Rocket,407488,407488,,5000000,Feb 21 1996,R,,Sony Pictures,Based on Short Film,Adventure,,Wes Anderson,79,7.2,21980
Braindead,242623,242623,,3000000,Feb 12 1993,,,Trimark,Original Screenplay,Horror,,Peter Jackson,,7.6,32827
The Bridges of Madison County,71516617,175516617,,22000000,Jun 02 1995,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90,7.2,21923
The Brothers McMullen,10426506,10426506,,25000,Aug 09 1995,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91,6.4,4365
Dracula,82522790,215862692,,40000000,Nov 13 1992,R,,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,Francis Ford Coppola,,6.4,136
Broken Arrow,70645997,148345997,,65000000,Feb 09 1996,R,108,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55,5.8,33584
Brainstorm,8921050,8921050,,15000000,Sep 30 1983,,,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,64,6.3,4410
Braveheart,75545647,209000000,,72000000,May 24 1995,R,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77,8.4,240642
Les BronzÈs 3: amis pour la vie,0,83833602,,42000000,Feb 01 2006,,,,,Comedy,Contemporary Fiction,,,4.4,1254
Brazil,9929135,9929135,,15000000,Dec 18 1985,R,136,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98,8,76635
Blazing Saddles,119500000,119500000,,2600000,Jan 01 1974,,,Warner Bros.,Original Screenplay,Comedy,,Mel Brooks,89,7.8,45771
The Basket,609042,609042,,1300000,May 05 2000,PG,,MGM,Original Screenplay,Drama,,,,6.3,343
Bathing Beauty,3500000,3500000,,2361000,Dec 31 1943,,,MGM,Original Screenplay,Musical,,,,6.2,487
Bill & Ted's Excellent Adventure,39916091,39916091,,10000000,Feb 17 1989,,,Orion Pictures,Original Screenplay,Comedy,Science Fiction,Stephen Herek,81,6.7,30341
A Bridge Too Far,50800000,50800000,,26000000,Jun 15 1977,,,MGM,Based on Book/Short Story,Action,,Sir Richard Attenborough,67,7.3,16882
Beetle Juice,73326666,73326666,,15000000,Mar 30 1988,,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Tim Burton,,7.3,61197
Batman Returns,162831698,266822354,,80000000,Jun 18 1992,PG-13,,Warner Bros.,Original Screenplay,Action,Super Hero,Tim Burton,78,6.9,78673
Batman Forever,184031112,336529144,,100000000,Jun 16 1995,PG-13,,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,43,5.4,76218
Batman - The Movie,0,0,,1377800,Aug 21 2001,,,,,,,,,,
Batman,251188924,411348924,,35000000,Jun 23 1989,PG-13,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71,7.6,111464
Buffy the Vampire Slayer,14231669,14231669,,7000000,Jul 31 1992,,,20th Century Fox,Original Screenplay,Horror,Fantasy,,32,5.3,16056
Bienvenue chez les Ch'tis,1470856,243470856,,16000000,Jul 25 2008,Not Rated,109,Link Productions Ltd.,Original Screenplay,Comedy,Contemporary Fiction,,,7,7129
Beyond the Valley of the Dolls,9000000,9000000,,1000000,Jan 01 1970,,,20th Century Fox,Original Screenplay,Comedy,,,68,5.7,4626
Broken Vessels,15030,85343,,600000,Jul 02 1999,R,,,Original Screenplay,Drama,,,,6.4,399
The Boys from Brazil,19000000,19000000,,12000000,Dec 31 1977,,,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,,Franklin J. Schaffner,65,7,8741
The Business of Fancy Dancing,174682,174682,,200000,May 10 2002,Not Rated,,Outrider Pictures,Original Screenplay,Drama,Contemporary Fiction,,,7,355
Caddyshack,39846344,39846344,,6000000,Jul 25 1980,,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,75,7.3,35436
Cape Fear,79091969,182291969,,35000000,Nov 15 1991,R,,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76,7.3,47196
Clear and Present Danger,122012656,207500000,,62000000,Aug 03 1994,PG-13,,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78,6.8,29612
Carrie,25878153,25878153,,1800000,Nov 16 1976,,,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Brian De Palma,90,7.4,38767
Casino Royale,22744718,41744718,,12000000,Apr 28 1967,,,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,John Huston,30,8,172936
Camping Sauvage,3479302,3479302,,4600000,Jul 16 2004,Not Rated,,Alliance,Original Screenplay,Comedy,Contemporary Fiction,,,6,378
The Cotton Club,25928721,25928721,,48000000,Dec 14 1984,,,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Francis Ford Coppola,74,6.3,6940
Crop Circles: Quest for Truth,0,0,,600000,Aug 23 2002,,,,,,,,60,7.1,153
Close Encounters of the Third Kind,166000000,337700000,,20000000,Nov 16 1977,,,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95,7.8,59049
The Cable Guy,60240295,102825796,,47000000,Jun 14 1996,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52,5.8,51109
Chocolate: Deep Dark Secrets,49000,1549000,,1000000,Sep 16 2005,Not Rated,,Eros Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.6,527
Child's Play,33244684,44196684,,9000000,Nov 09 1988,,,United Artists,Original Screenplay,Horror,Fantasy,,70,6.3,16165
Child's Play 2,26904572,34166572,,13000000,Nov 09 1990,,,Universal,Original Screenplay,Horror,Fantasy,,38,5.1,8666
Chain Reaction,21226204,60209334,,55000000,Aug 02 1996,PG-13,106,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13,5.2,15817
Charly,814666,814666,,950000,Sep 27 2002,PG,,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,,,5.8,60
Chariots of Fire,57159946,57159946,,5500000,Sep 25 1981,,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Hugh Hudson,86,7.3,16138
A Christmas Story,19294144,19294144,,3250000,Nov 18 1983,PG,,MGM,Based on Book/Short Story,Comedy,Historical Fiction,,88,8,51757
Cat on a Hot Tin Roof,17570324,17570324,,3000000,Sep 20 1958,,,MGM,Based on Play,Drama,Contemporary Fiction,Richard Brooks,100,8,14540
C.H.U.D.,4700000,4700000,,1250000,Aug 31 1984,,,New World,Original Screenplay,Horror,Fantasy,,,5,2806
"Charge of the Light Brigade, The",0,0,,1200000,Oct 20 2036,,,Warner Bros.,Based on Real Life Events,Action,Dramatization,Michael Curtiz,,,
Crooklyn,13024170,13024170,,14000000,May 13 1994,PG-13,,Universal,Original Screenplay,Comedy,Historical Fiction,Spike Lee,75,6.5,3137
Festen,1647780,1647780,,1300000,Oct 09 1998,R,,October Films,Original Screenplay,Comedy,Contemporary Fiction,Thomas Vinterberg,,8.1,26607
Cleopatra,48000000,62000000,,36000000,Jun 12 1963,,,20th Century Fox,Based on Real Life Events,Drama,Dramatization,,40,6.8,7870
Cliffhanger,84049211,255000000,,65000000,May 28 1993,,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,82,6.2,34447
The Californians,4134,4134,,500000,Oct 21 2005,PG,,Fabrication Films,Original Screenplay,Drama,Contemporary Fiction,,,5.1,226
The Client,92115211,117615211,,45000000,Jul 20 1994,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,80,6.5,19299
The Calling,32092,32092,,160000,Mar 01 2002,PG,,Testimony Pictures,Original Screenplay,Drama,Contemporary Fiction,Michael C. Brown,,3.4,1113
Clueless,56598476,56598476,,13700000,Jul 01 1995,PG-13,,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,83,6.7,39055
The Color Purple,93589701,93589701,,15000000,Dec 18 1985,,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Spielberg,88,7.7,26962
Clerks,3073428,3073428,,27000,Oct 19 1994,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,88,7.9,89991
Central do Brasil,5969553,17006158,,2900000,Nov 20 1998,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Walter Salles,,8,17343
Clash of the Titans,30000000,30000000,,15000000,Jun 12 1981,,108,MGM,Traditional/Legend/Fairytale,Adventure,Fantasy,,65,5.9,45773
Clockwatchers,444354,444354,,2000000,May 15 1998,PG-13,,Artistic License,,,,,,5.9,3171
Commando,35073978,35073978,,10000000,Oct 04 1985,,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,71,4.5,49
The Color of Money,52293000,52293000,,10000000,Oct 17 1986,,,Walt Disney Pictures,,Drama,Contemporary Fiction,Martin Scorsese,91,6.9,25824
Cinderella,85000000,85000000,,2900000,Feb 15 1950,,,Walt Disney Pictures,Traditional/Legend/Fairytale,Drama,Fantasy,,92,5.1,373
Congo,81022333,152022333,,50000000,Jun 09 1995,PG-13,,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,21,4.6,17954
Conan the Barbarian,38264085,38264085,,20000000,May 14 1982,,,Universal,Based on Book/Short Story,Action,Fantasy,John Milius,76,6.8,38886
Conan the Destroyer,26400000,26400000,,18000000,Jun 29 1984,,,Universal,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,29,5.4,20368
Class of 1984,6965361,6965361,,3250000,Aug 20 1982,,,United Film Distribution Co.,Original Screenplay,Drama,Contemporary Fiction,,,6.3,2945
The Clan of the Cave Bear,1953732,1953732,,15000000,Jan 17 1986,,,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,,13,4.9,2763
